Afghanistan,6,9,46695428,7961908.166666667
Albania,41,550,1500000,109957.31707317074
Algeria,33,0,3744000,411669.7187878788
Andorra,5,40000,2147483647,1.7648488314564E+15
Angola,3,600000,2400000,1216666.6666666667
Argentina,329,800,2288000,248387.8632218845
Armenia,43,430,41600000,4411408.441860465
Australia,1171,3,8320000,220349.25093082833
Austria,408,12,2400000,61807.93137254902
Azerbaijan,29,144,70000,18748.41379310345
Bahamas,2,57000,120000,88500.0
Bahrain,6,400,24000,9766.666666666666
Bangladesh,240,1,15600000,664997.8906666667
Barbados,3,15600,65000,33853.78666666667
Belarus,132,1,2400000,65490.53787878788
Belgium,392,1,3180000,66195.29081632652
Benin,2,4200000,36000000,2.01E+7
Bhutan,3,3000,300000,109666.66666666667
Bolivia,16,400,180000,32185.625
Bosnia and Herzegovina,58,600,2147483647,1432368256.4310346
Botswana,2,140000,208000,174000.0
Brazil,1370,0,2147483647,8.759124087591242E+27
Bulgaria,206,2,780000,49543.68533980582
Burundi,1,18500,18500,18500.0
Cambodia,16,300,63000,16186.125
Cameroon,12,500,33800000,5507358.333333333
Canada,1986,56,2147483647,5.54380664652568E+74
Chile,116,900,144000000,11146457.379310345
China,279,9,4750000,205428.298781362
Colombia,204,535,360000000,30362036.387843136
Congo Republic of the...,2,12000,5400000,2706000.0
Costa Rica,59,7,88400000,3902251.3220338984
Croatia,115,5,384000,85159.85113043478
Cuba,27,35,900000,45186.62962962963
Cyprus,22,1470,240000,46318.63636363636
Czech Republic,403,1500,9216000,558747.540942928
Côte d'Ivoire,1,3000,3000,3000.0
Democratic Republic of the Congo,2,12600,60000,36300.0
Denmark,372,11208,12000000,609618.8333333334
Dominica,1,1040,1040,1040.0
Dominican Republic,58,725,1560000,337475.84551724134
Ecuador,29,800,432000,33443.44827586207
Egypt,143,15,360000,62397.96503496503
El Salvador,24,1000,95000,20141.333333333332
Eritrea,1,3000,3000,3000.0
Estonia,106,660,540000,38542.736603773585
Ethiopia,18,2640,444000,120880.0
Fiji,5,7200,33600,21152.0
Finland,310,2400,840000,59343.22580645161
France,1452,44,4320000,80242.52892561983
Gabon,1,7200000,7200000,7200000.0
Gambia,2,180000,300000,240000.0
Georgia,30,1000,240000,33204.0
Germany,3435,4,2147483647,18689269289585436
Ghana,27,300,432000,45363.11111111111
Greece,246,10,660816,39453.26455284553
Guatemala,28,500,240000,74051.78571428571
Guyana,1,4500,4500,4500.0
Haiti,1,2000,2000,2000.0
Honduras,10,700,540000,152850.0
Hong Kong (S.A.R.),92,3000,5184000,428843.652173913
Hungary,230,936,49200000,5650794.660869565
Iceland,23,18000,14400000,4910105.565217392
India,4182,0,2147483647,1.2434244380679101E+36
Indonesia,204,30,2147483647,2186349774.759804
Iran Islamic Republic of...,340,0,2147483647,278979483.67447054
Iraq,11,750,20000000,3020293.6363636362
Ireland,317,80,2147483647,3785488959157088
Israel,472,1,2147483647,236870169.68499997
Italy,760,240,1500000,78279.71781578947
Jamaica,7,13032,4300000,1769290.2857142857
Japan,175,3000,180000000,8434005.485714287
Jordan,36,1400,168000,21053.833333333332
Kazakhstan,51,3055,28600000,2998648.529411765
Kenya,65,2,4200000,670557.8769230769
Kuwait,9,7200,1500000,181006.66666666666
Kyrgyzstan,9,1800,540000,69146.66666666667
Latvia,86,400,95000,25701.967906976748
Lebanon,42,4000,42300000,2880085.3333333335
Lesotho,1,480000,480000,480000.0
Libyan Arab Jamahiriya,4,650,180000,60437.5
Liechtenstein,2,73200,744000,408600.0
Lithuania,140,400,228000,31001.807142857142
Luxembourg,34,5600,12000000,475542.23529411765
Madagascar,9,2520,48000000,11254013.333333334
Malawi,2,4800,216000,110400.0
Malaysia,146,108,2147483647,2499779325.520548
Maldives,4,14400,240000,98460.0
Malta,37,1800,420000,67284.86486486487
Marshall Islands,1,36000,36000,36000.0
Mauritius,12,7200,1080000,396083.3333333333
Mexico,397,100,3500000,303580.35586901766
Mongolia,8,4800,60000000,14228975
Montenegro,8,1700,95000,28212.5
Morocco,62,120,720000,77118.06451612903
Mozambique,8,5000,1956000,733825.0
Myanmar,15,4800,33300000,4869386.666666667
Namibia,2,96000,264000,180000.0
Nepal,82,50,18000000,759898.0731707317
Netherlands,1036,10,2147483647,9.652509652509651E+31
New Zealand,319,374,4680000,240509.0487460815
Nicaragua,12,600,576000,107986.0
Nigeria,138,420,685152000,8368099.724637682
Norway,337,140,11640000,1186286.3679525224
Oman,8,16,4005540,533364.6
Other Country (Not Listed Above),41,1,600000000,14865763.487804879
Pakistan,407,50,4622176,600982.6901228501
Panama,17,1000,184000,31881.176470588234
Paraguay,29,700,187000000,32773693.79310345
Peru,48,550,108000,33465.208333333336
Philippines,174,520,14400000,487436.50942528737
Poland,1071,16,2147483647,1400560356202.1353
Portugal,294,20,4800000,52605.55952380953
Qatar,6,1692,4920000,924482.0
Republic of Korea,15,0,53000000,23162933.346666668
Republic of Moldova,32,700,2600000,184365.625
Romania,380,12,100000000,338897.61842105264
Russian Federation,1323,0,110400000,1242585.2421466366
Rwanda,6,500,14400000,2465966.6666666665
Saint Lucia,1,432000,432000,432000.0
Saudi Arabia,47,300,3000000,247904.8510638298
Senegal,3,12000,19200000,7804000.0
Serbia,183,500,10000000,424592.8496174863
Sierra Leone,1,120000,120000,120000.0
Singapore,154,750,1680000,120010.2987012987
Slovakia,117,60,120000,24494.20512820513
Slovenia,120,700,960000,42567.46666666667
Somalia,4,2400,36000,15900.0
South Africa,373,360,11299200,722640.1590348525
South Korea,57,2200,1200000000,113774929.8245614
Spain,979,0,2147483647,12331528.329162411
Sri Lanka,172,781,4200000,989413.1888372093
Sudan,9,50,204000,46352.22222222222
Suriname,1,18600,18600,18600.0
Swaziland,3,18000,48000,30000.0
Sweden,731,516,9600000,540204.975376197
Switzerland,560,110,2400000,144819.1892857143
Syrian Arab Republic,20,800,3360000,910690.0
Taiwan,69,10200,8000000,906816.695652174
Tajikistan,2,4200,54000,29100.0
Thailand,71,52,2000000,620216.1126760563
The former Yugoslav Republic of Macedonia,25,1200,1886100,136613.6
Togo,2,24000,241000,132500.0
Trinidad and Tobago,11,12000,480000,145363.63636363635
Tunisia,44,48,29031276,1201670.1363636365
Turkey,408,35,11970556,142952.9730392157
Turkmenistan,1,12000,12000,12000.0
Uganda,27,1000,230400000,28479575.703703705
Ukraine,495,48,9600000,224739.0909090909
United Arab Emirates,76,4500,4800000,356815.48631578946
United Kingdom,3750,1,2147483647,2.6666666666666665E+101
United Republic of Tanzania,18,500,54840000,15540983.333333334
United States,12821,0,2147483647,7799703821454.406
Uruguay,50,1,1400000,251843.66
Uzbekistan,18,2000,144000000,15143049.111111112
Venezuela Bolivarian Republic of...,61,13,120000000,8225253.8852459015
Viet Nam,91,24,2147483647,159231651.24175823
Yemen,7,3000,2400000,630085.7142857143
Zambia,2,18000,300000,159000.0
Zimbabwe,17,2400,1000000,78022.4705882353
